last_name, first_name,player_id,year,player_age,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,b_foul,b_foul_tip,b_game,woba,wobacon,exit_velocity_avg,launch_angle_avg,barrel,barrel_batted_rate,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,meatball_percent,pitch_count,iz_contact_percent,whiff_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,
Contreras, Mark,676628,2022,27,61,7,3,1,0,3,21,1,34.4,1.6,.121,.293,.148,.441,.172,54,4,28,.189,.267,94.9,13.9,12,31.6,57.9,83.6,24.7,39.4,48.8,51.2,47.3,82.4,7.7,220,73.2,31.9,47.4,23.7,18.4,10.5,
Madris, Bligh,676632,2022,26,123,20,12,7,0,1,31,10,25.2,8.1,.177,.265,.244,.509,.088,85,2,39,.231,.262,88.9,10.5,4,4.9,41.5,66.9,20.8,24.9,43.3,56.7,49,76.9,7.9,492,79.2,26.8,51.2,23.2,19.5,6.1,
Reks, Zach,676646,2022,28,34,9,8,1,0,0,10,0,29.4,0.0,.265,.294,.265,.559,.029,23,2,16,.245,.347,86.3,19,0,0,41.7,71.7,18.6,38.9,42.9,57.1,47.4,55.6,7.9,114,81.4,26.6,25,37.5,33.3,4.2,
Meyers, Jake,676694,2022,26,160,34,25,6,2,1,54,7,33.8,4.4,.227,.313,.269,.582,.087,110,8,52,.258,.360,87.3,7.2,5,5.2,37.1,65.7,22.9,30.4,48,52,51.8,70.6,8,635,77.1,31.2,53.6,16.5,25.8,4.1,
Trejo, Alan,676701,2022,26,125,32,22,6,0,4,31,5,24.8,4.0,.271,.424,.312,.736,.153,106,2,35,.321,.406,86.2,13.6,4,4.6,31.4,68.3,15.9,36.5,42.7,57.3,49.5,68.3,8.3,494,82.9,25,39.1,32.2,25.3,3.4,
Young, Jared,676724,2022,26,22,5,3,2,0,0,7,3,31.8,13.6,.263,.368,.364,.732,.105,15,1,6,.329,.431,90.7,9.3,1,8.3,50,68.9,32.3,28.3,60,40,54.1,71.4,7.1,98,67.7,41.3,33.3,25,33.3,8.3,
McCormick, Chas,676801,2022,27,407,88,60,12,2,14,106,46,26.0,11.3,.245,.407,.332,.738,.162,259,26,119,.326,.395,88.1,12.8,26,10.2,39,69.7,25.1,29.6,47,52.2,53.2,78.6,7.4,1584,74.1,32.2,44.1,31.9,22,2,
Batten, Matthew,676946,2022,27,22,2,1,1,0,0,6,2,27.3,9.1,.105,.158,.227,.385,.053,14,1,15,.193,.165,86.3,3.4,0,0,30.8,63,24.1,24.4,36.4,45.5,49.5,16.7,6.6,91,75.9,27.5,61.5,15.4,15.4,7.7,
MacKinnon, David,676950,2022,27,57,7,7,0,0,0,17,6,29.8,10.5,.140,.140,.228,.368,.000,51,0,22,.181,.182,85,8.2,1,2.9,20.6,59.7,16.2,29.7,39.5,60.5,50.8,75.9,11.5,252,83.8,24.1,50,20.6,20.6,8.8,
Franco, Wander,677551,2022,21,344,87,58,20,3,6,33,26,9.6,7.6,.277,.417,.328,.746,.140,256,8,83,.323,.329,87.3,8.2,13,4.6,35.8,73.1,7.5,30.1,26.9,73.1,50.7,85.9,7,1216,92.5,13.3,44.2,18.2,29.1,8.4,
